Source;Industrie;Chauffage particulier  (principalement bois);Agriculture;Traffic routier;Réactions chimiques dans l'atmosphère
BFMTV pollution atmosphérique;31;30;20;15;
Airparif particules fines en Ile-de-France;9;28;;25;22
Airparif PM10 ˆ Paris;18;26;18;28;
